name,email,age,monthly_income,credit_score,role,password
Employee 1,employee1@example.com,37,5269.49,712,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 2,employee2@example.com,45,5569.19,725,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 3,employee3@example.com,34,4358.6,748,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 4,employee4@example.com,38,5630.43,736,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 5,employee5@example.com,32,5476.68,769,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 6,employee6@example.com,27,6441.12,719,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 7,employee7@example.com,33,5729.48,787,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 8,employee8@example.com,43,6261.12,728,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 9,employee9@example.com,50,5214.08,702,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 10,employee10@example.com,40,5436.19,818,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 11,employee11@example.com,49,4757.11,712,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 12,employee12@example.com,40,6529.99,742,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
Employee 13,employee13@example.com,58,6585.85,744,EMPLOYEE,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
