name,email,age,monthly_income,credit_score,role,password
User 1,user1@example.com,20,3340.54,683,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 2,user2@example.com,22,3448.93,587,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 3,user3@example.com,20,2497.34,520,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 4,user4@example.com,24,2331.58,578,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 5,user5@example.com,22,2770.69,535,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 6,user6@example.com,22,3179.07,616,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 7,user7@example.com,22,3840.43,526,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 8,user8@example.com,23,3482.38,597,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 9,user9@example.com,19,3993.91,558,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 10,user10@example.com,18,3920.14,552,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 11,user11@example.com,18,3457.37,569,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 12,user12@example.com,21,2915.38,513,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 13,user13@example.com,21,2985.49,569,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 14,user14@example.com,21,2083.83,665,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 15,user15@example.com,21,2118.98,652,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 16,user16@example.com,24,2807.38,591,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 17,user17@example.com,23,2006.23,557,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 18,user18@example.com,18,3957.14,592,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 19,user19@example.com,19,2789.57,550,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 20,user20@example.com,21,2100.45,605,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 21,user21@example.com,19,3811.4,665,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 22,user22@example.com,19,3085.52,570,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 23,user23@example.com,20,3714.92,657,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 24,user24@example.com,21,3044.61,638,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 25,user25@example.com,23,2378.13,626,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 26,user26@example.com,24,2970.0,516,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 27,user27@example.com,20,3312.34,514,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 28,user28@example.com,24,3682.33,618,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 29,user29@example.com,20,2752.68,581,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 30,user30@example.com,22,2649.92,594,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 31,user31@example.com,25,3981.08,574,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 32,user32@example.com,21,2868.05,689,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 33,user33@example.com,23,2600.05,608,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 34,user34@example.com,23,2283.85,556,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 35,user35@example.com,23,2208.6,673,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 36,user36@example.com,22,3794.49,549,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 37,user37@example.com,19,3276.23,532,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 38,user38@example.com,22,3960.04,545,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 39,user39@example.com,22,3848.56,604,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 40,user40@example.com,25,2190.43,584,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 41,user41@example.com,20,3467.59,505,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 42,user42@example.com,19,3274.71,520,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 43,user43@example.com,18,3331.12,540,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 44,user44@example.com,19,3307.81,677,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 45,user45@example.com,22,3352.23,601,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 46,user46@example.com,21,2614.86,572,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 47,user47@example.com,25,3288.88,519,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 48,user48@example.com,21,2465.78,591,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 49,user49@example.com,18,2783.22,582,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 50,user50@example.com,19,2055.88,505,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 51,user51@example.com,18,2865.16,550,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 52,user52@example.com,19,2822.42,633,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 53,user53@example.com,21,3714.56,566,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 54,user54@example.com,23,2628.97,554,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 55,user55@example.com,22,3825.03,621,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 56,user56@example.com,18,3395.99,565,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 57,user57@example.com,23,2807.45,526,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 58,user58@example.com,24,3473.84,682,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 59,user59@example.com,20,2687.19,583,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 60,user60@example.com,25,3140.79,599,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 61,user61@example.com,25,3873.18,551,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 62,user62@example.com,21,2047.44,542,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 63,user63@example.com,24,3593.83,682,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 64,user64@example.com,24,3418.62,678,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 65,user65@example.com,20,3959.68,567,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 66,user66@example.com,18,2955.77,683,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 67,user67@example.com,20,3354.12,645,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 68,user68@example.com,19,2586.92,688,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 69,user69@example.com,19,2377.32,571,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 70,user70@example.com,18,2485.1,697,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 71,user71@example.com,20,3323.66,571,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 72,user72@example.com,23,2252.1,581,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 73,user73@example.com,25,2088.9,618,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 74,user74@example.com,23,3450.11,579,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 75,user75@example.com,21,3642.62,535,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 76,user76@example.com,20,2679.37,593,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
User 77,user77@example.com,22,3203.41,608,USER,$2a$10$EblN0qSJB0xoga.FWp5Xuea2iXh4nL2Lk9QZcvrBekzvOft/Sifr6
